ID,TIME,lng_h,lat_h,lng_w,lat_w
FL7LRL,2024-01-05T14:19:12+0000,11.56156371,48.28591656,11.56962195,48.27229745
YJURU7,2024-01-05T14:19:04+0000,11.56155316,48.28591458,11.5696759,48.27235268
RTTXRK,2024-01-05T16:14:10+0000,11.60104241,47.29562312,11.56975737,48.28187361
LGXH6H,2024-01-05T21:05:51+0000,11.56948988,48.28188142,11.5701246,48.28170059
YJURU7,2024-01-03T15:30:48+0000,11.58128445,48.15982685,11.57105598,48.13205656
FL7LRL,2024-01-03T15:31:00+0000,11.58129887,48.15985836,11.57116294,48.13212709
RTTXRK,2023-12-30T18:10:47+0000,11.58799106,48.13521233,11.57495397,48.18896033
LGXH6H,2023-12-30T18:11:42+0000,11.58784024,48.1353422,11.57497146,48.18897178
FL7LRL,2024-01-01T15:37:26+0000,11.58315932,48.27745138,11.57624084,48.11410934
YJURU7,2024-01-03T16:47:38+0000,11.57105598,48.13205656,11.57635,48.1340868
FL7LRL,2024-01-03T16:46:51+0000,11.57116294,48.13212709,11.57635,48.1340868
YJURU7,2024-01-01T15:41:17+0000,11.58315983,48.27738894,11.5763546,48.11414522
YJURU7,2024-01-02T17:01:35+0000,11.58318924,48.27731567,11.58128445,48.15982685
FL7LRL,2024-01-02T17:01:37+0000,11.58325598,48.27732646,11.58129887,48.15985836
YJURU7,2023-12-28T18:34:10+0000,11.78928114,48.14618253,11.5831236,48.27733206
FL7LRL,2024-01-07T15:58:36+0000,11.6612873,48.0987857,11.58315315,48.27740293
FL7LRL,2023-12-28T19:38:32+0000,11.58318924,48.27731567,11.58315315,48.27740293
FL7LRL,2024-01-01T14:32:50+0000,11.55908805,48.2481374,11.58315932,48.27745138
YJURU7,2023-12-30T13:19:29+0000,11.75423572,47.70882907,11.58315983,48.27738894
FL7LRL,2023-12-30T13:18:59+0000,11.75380343,47.70954183,11.58315983,48.27738894
FL7LRL,2024-01-01T16:49:37+0000,11.57624084,48.11410934,11.58315983,48.27738894
YJURU7,2024-01-01T16:49:37+0000,11.5763546,48.11414522,11.58315983,48.27738894
FL7LRL,2024-01-05T11:14:58+0000,11.60173509,48.14037179,11.58315983,48.27738894
YJURU7,2023-12-29T11:38:28+0000,11.42637807,48.14286024,11.58315983,48.27738894
YJURU7,2023-12-30T11:17:23+0000,11.60492361,48.19869331,11.58315983,48.27738894
YJURU7,2024-01-01T14:32:15+0000,11.55901481,48.24821626,11.58315983,48.27738894
FL7LRL,2023-12-23T22:28:47+0000,11.58325598,48.27732646,11.58315983,48.27738894
FL7LRL,2024-01-03T20:22:54+0000,11.58344546,48.2773678,11.58315983,48.27738894
YJURU7,2024-01-03T20:22:29+0000,11.58343878,48.27738179,11.58315983,48.27738894
FL7LRL,2023-12-30T17:16:03+0000,11.58315983,48.27738894,11.58315983,48.27738894
FL7LRL,2023-12-25T16:36:48+0000,11.5825519,48.2774238,11.58315983,48.27738894
YJURU7,2023-12-25T16:36:17+0000,11.5825519,48.2774238,11.58315983,48.27738894
YJURU7,2024-01-05T09:43:10+0000,11.56150596,48.28589441,11.58315983,48.27738894
FL7LRL,2023-12-28T18:33:45+0000,11.78890631,48.14626133,11.58318924,48.27731567
YJURU7,2024-01-02T16:07:16+0000,11.63422381,48.30354479,11.58318924,48.27731567
FL7LRL,2023-12-29T07:40:00+0000,11.58315315,48.27740293,11.58324832,48.27747362
FL7LRL,2024-01-02T16:07:21+0000,11.63418821,48.30351669,11.58325598,48.27732646
FL7LRL,2023-12-23T17:57:37+0000,9.57476542,49.77673329,11.58325598,48.27732646
